section,category,subcategory,question_no,question,option_a,option_b,option_c,option_d,option_e,verified_answer,answer_text,source_key,status,basis
MPT Past Papers,Books and Authors,South Asian history books,252,"""Incomplete Partition"" is written by:",K.K Aziz,Gulzar Ahmed,Alastair Lamb,None of these,,C,Alastair Lamb,,ANSWER SUPPLIED BY REVIEW,Alastair Lamb
MPT Past Papers,Books and Authors,Urdu drama,253,The first drama in Urdu was written by:,Abdul Halim Sharar,Agha Hashar,Deputy Nazir Ahmed,Agha Hassan Amanat,,D,Agha Hassan Amanat,,ANSWER SUPPLIED BY REVIEW,"Agha Hassan Amanat, Indar Sabha"
MPT Past Papers,Books and Authors,Urdu drama,254,During the nineteenth century Urdu Drama was dominated by:,Historical events,Folk lore,Dance and music,Stories based on mythologies,,B,Folk lore,B,VERIFIED — matches source,folk lore - low confidence
MPT Past Papers,Books and Authors,Urdu literature,258,"نظم ""طلوع اسلام"" علامہ اقبال کے کس مجموعہ کلام میں شامل ہے؟",بانگ درا,بال جبریل,ضرب کلیم,ارمغان حجاز,,A,بانگ درا,,ANSWER SUPPLIED BY REVIEW,Bang-e-Dra
MPT Past Papers,Books and Authors,Urdu literature,259,"ناول ""آگ کا دریا"" کس کی تصنیف ہے؟",عصمت چغتائی,قرۃ العین حیدر,پریم چند,سجاد ظہیر,,B,قرۃ العین حیدر,,ANSWER SUPPLIED BY REVIEW,Qurratulain Hyder
MPT Past Papers,Books and Authors,Urdu literature,260,فیض احمد فیض نے اپنے پہلے شعری مجموعے کا نام کس شاعر کے شعر سے لیا ہے؟,میر تقی میر,غالب,اقبال,مولانا حالی,,B,غالب,B,VERIFIED — matches source,Ghalib
MPT Past Papers,Books and Authors,Urdu literature,261,آہ کو چاہیے اک عمر اثر ہونے تک، کون جیتا ہے تری زلف کے سر ہونے تک۔ یہ شعر کس کا ہے؟,میر تقی میر,مومن خان مومن,مرزا غالب,حیدر علی آتش,,C,مرزا غالب,C,VERIFIED — matches source,Ghalib
MPT Past Papers,Books and Authors,Urdu literature,262,"""آنندی"" کس مشہور ادیب کا افسانہ ہے؟",احمد ندیم قاسمی,غلام عباس,اشفاق احمد,ممتاز مفتی,,B,غلام عباس,,ANSWER SUPPLIED BY REVIEW,Ghulam Abbas
MPT Past Papers,Awards and Honors,Literary awards,263,Lenin prize was awarded to:,Habib Jalib,Ahmed Faraz,Faiz Ahmed Faiz,None of these,,C,Faiz Ahmed Faiz,C,VERIFIED — matches source,"Faiz Ahmed Faiz, 1962"
MPT Past Papers,Awards and Honors,Literary awards and titles,264,Who won the 2023 Nobel Prize in Literature?,Olga Tokarczuk,Abdulrazak Gurnah,Annie Ernaux,None of these,,D,None of these,,ANSWER SUPPLIED BY REVIEW,"the 2023 Nobel in Literature went to Jon Fosse, who is not listed"
MPT Past Papers,Awards and Honors,Literary awards and titles,265,Khawaja Altaf Hussain Hali was awarded the title of Shamsul Ulama in:,1907,1904,1899,None of these,,B,1904,,ANSWER SUPPLIED BY REVIEW,1904
MPT Past Papers,Mathematics,Ages and mixtures,266,The average age of 5 children born at intervals of 2 years is 18 years. What is the age of the youngest child?,12,13,14,None of these,,C,14,C,VERIFIED — matches source,avg=x+4=18 -> youngest 14
MPT Past Papers,Mathematics,Ages and mixtures,267,A jug contains 2 litres of a mixture of apple juice and orange juice in the ratio 3:5. We take out 400 ml of juice from the jug. How much more apple juice needs to be added so that the ratio becomes 7:5?,800 ml,1000 ml,2000 ml,None of these,,A,800 ml,B,CORRECTED — source key was wrong,600/1000 after removal; need 1400 apple -> add 800ml
MPT Past Papers,Mathematics,Algebra and geometry,268,Let (x/2) - (x/4) = 2; then find the correct answer:,2,4,8,None of these,,C,8,,ANSWER SUPPLIED BY REVIEW,x/4=2 -> x=8
MPT Past Papers,Mathematics,Algebra and geometry,269,Let x^(2/3) = 64; then find the value of x:,4,8,16,None of these,,D,None of these,,ANSWER SUPPLIED BY REVIEW,"x=64^(3/2)=512, not listed"
MPT Past Papers,Mathematics,Algebra and geometry,270,The angle made by two lines is called:,Segment,Vertex,Rays,None of these,,D,None of these,,ANSWER SUPPLIED BY REVIEW,"the figure is simply ""an angle""; none of the options name it"
MPT Past Papers,Mathematics,Algebra and geometry,271,A polygon that consists of 8 sides is called:,Nonagon,Decagon,Octagon,None of these,,C,Octagon,,ANSWER SUPPLIED BY REVIEW,octagon = 8 sides
MPT Past Papers,Mathematics,Algebra and geometry,272,A measure of angle which is the complement of itself is:,30 degrees,45 degrees,90 degrees,None of these,,B,45 degrees,,ANSWER SUPPLIED BY REVIEW,complement of itself -> 45
MPT Past Papers,Mathematics,Algebra and geometry,273,A triangle has _____ vertices.,1,2,3,None of these,,C,3,,ANSWER SUPPLIED BY REVIEW,3 vertices
MPT Past Papers,Mathematics,Algebra and geometry,274,The sum of three angles of an isosceles triangle is:,90 degrees,180 degrees,360 degrees,None of these,,B,180 degrees,,ANSWER SUPPLIED BY REVIEW,angle sum 180
MPT Past Papers,Mathematics,Algebra and geometry,275,How many endpoints are in a line?,No endpoints,One endpoint,Two endpoints,None of these,,A,No endpoints,,ANSWER SUPPLIED BY REVIEW,a line has no endpoints
MPT Past Papers,Mathematics,Algebra and geometry,276,Which of the following is the longest chord of a circle?,Radius,Diameter,Circumference,None of these,,B,Diameter,,ANSWER SUPPLIED BY REVIEW,diameter is longest chord
MPT Past Papers,Mathematics,Algebra and geometry,277,How many sides does a Pentagon have?,Five,Seven,Eight,None of these,,A,Five,,ANSWER SUPPLIED BY REVIEW,pentagon = 5
MPT Past Papers,Mathematics,Algebra and geometry,278,A figure whose all four sides are equal is called:,Rectangle,Square,Circle,None of these,,B,Square,,ANSWER SUPPLIED BY REVIEW,square
MPT Past Papers,Mathematics,Arithmetic and algebra,279,Find the percentage of 0.001:,1,0.1,0.01,None of these,,B,0.1,,ANSWER SUPPLIED BY REVIEW,0.001 x 100 = 0.1%
MPT Past Papers,Mathematics,Arithmetic and algebra,280,Find the answer of the series (-3) x (-3) x (-3):,-3,27,-27,None of these,,C,-27,,ANSWER SUPPLIED BY REVIEW,(-3)^3 = -27
MPT Past Papers,Mathematics,Arithmetic and algebra,281,What is the square root of -25?,5,-5,-2.5,None of these,,D,None of these,,ANSWER SUPPLIED BY REVIEW,sqrt(-25) is not real
MPT Past Papers,Mathematics,Arithmetic and algebra,282,Let x = -4x + 4; the value of x will be:,4/5,5/4,-4/3,None of these,,A,4/5,,ANSWER SUPPLIED BY REVIEW,5x=4 -> 4/5
MPT Past Papers,Mathematics,Arithmetic and algebra,283,"If the sum of all 10 values in a data set is 10, then what will be the average?",1,5,10,None of these,,A,1,,ANSWER SUPPLIED BY REVIEW,10/10 = 1
MPT Past Papers,Mathematics,Arithmetic and algebra,284,Let (x^1/2) x (x^-1/2); then find the correct answer:,0,1,-1/4,None of these,,B,1,,ANSWER SUPPLIED BY REVIEW,x^0 = 1
MPT Past Papers,Mathematics,Arithmetic and algebra,285,Let (-2x)^3; then find the correct answer:,8x,-8x,-8x^3,None of these,,C,-8x^3,,ANSWER SUPPLIED BY REVIEW,(-2x)^3 = -8x^3
MPT Past Papers,Mathematics,Arithmetic and number sequences,286,"To pack 100 pairs of shoes into cases that each hold 20 shoes, how many cases do we need?",5,10,15,None of these,,B,10,,ANSWER SUPPLIED BY REVIEW,100 pairs = 200 shoes / 20 = 10 cases
MPT Past Papers,Mathematics,Arithmetic and number sequences,287,"The total number of cubic blocks is 50. To construct a solid cube with none left over, what is the minimum number that needs to be taken away?",21,22,23,None of these,,C,23,,ANSWER SUPPLIED BY REVIEW,largest cube <=50 is 27; remove 23
MPT Past Papers,Mathematics,Arithmetic and number sequences,288,"In the series 12, 11, 13, 12, 14, 13, ... what number should come next?",13,14,15,None of these,,C,15,,ANSWER SUPPLIED BY REVIEW,"pattern -1,+2 -> 15"
MPT Past Papers,Mathematics,Arithmetic and number sequences,289,"In the series 2, 1, (1/2), (1/4), ... what number should come next?",1/3,1/8,1/16,None of these,,B,1/8,,ANSWER SUPPLIED BY REVIEW,ratio 1/2 -> 1/8
MPT Past Papers,Mathematics,Arithmetic and sequences,290,The thickness of one sheet of paper is 5 x 10^-2 mm. What is the thickness of a book having 400 sheets of paper?,2 cm,20 cm,200 mm,None of these,,A,2 cm,D,CORRECTED — source key was wrong,0.05mm x 400 = 20mm = 2cm
MPT Past Papers,Mathematics,Arithmetic and sequences,291,"Saba and Nida do their assignment together. The ratio of time taken by Saba to Nida is 6:5. If Saba takes 90 minutes to complete the assignment, how much time does Nida require?",75 minutes,96 minutes,108 minutes,None of these,,A,75 minutes,A,VERIFIED — matches source,90 x 5/6 = 75
MPT Past Papers,Mathematics,Arithmetic and sequences,293,"Find the number which does not fit in the series: 10, 25, 45, 54, 60, 75, 85",45,54,75,None of these,,B,54,B,VERIFIED — matches source,54 is the only non-multiple of 5
MPT Past Papers,Mathematics,Arithmetic and sequences,294,"A new number is added to the series 3, 4, 4, 5, 6, 8 such that the average of the series does not change. What is the new number?",5,6,7,None of these,,A,5,A,VERIFIED — matches source,"mean is 5, so add 5"
MPT Past Papers,Mathematics,"Arithmetic, geometry and algebra",295,Writing 0.0000738 in standard form we get:,7.38 x 10^7,7.38 x 10^-5,7.38 x 10^5,None of these,,B,7.38 x 10^-5,B,VERIFIED — matches source,7.38e-5
MPT Past Papers,Mathematics,"Arithmetic, geometry and algebra",296,The perimeter of an equilateral triangle is 24 cm. What is the length of one side of the triangle?,12 cm,6 cm,80 mm,None of these,,C,80 mm,C,VERIFIED — matches source,24/3 = 8cm = 80mm
MPT Past Papers,Mathematics,"Arithmetic, geometry and algebra",297,The exterior angle of a triangle is 80 degrees and the interior opposite angles are in the ratio 1:3. The interior angles measure:,30 and 90 degrees,25 and 75 degrees,20 and 60 degrees,None of these,,C,20 and 60 degrees,C,VERIFIED — matches source,1:3 of 80 -> 20 and 60
MPT Past Papers,Mathematics,"Arithmetic, geometry and algebra",298,A watchmaker sold 40 percent of his watches and still has 420 watches left. How many did he have to begin with?,672,700,1050,None of these,,B,700,B,VERIFIED — matches source,420 = 60% -> 700
MPT Past Papers,Mathematics,"Arithmetic, geometry and algebra",299,"Six years ago, the ratio of the ages of Ali and Babar was 6:5. Four years from now, the ratio of their ages will be 11:10. What is Babar's age at present?",16 years,18 years,20 years,None of these,,A,16 years,B,CORRECTED — source key was wrong,"Ali 18, Babar 16 -> Babar is 16"
MPT Past Papers,Mathematics,"Arithmetic, geometry and algebra",300,A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:,641,698,737,None of these,,B,698,B,VERIFIED — matches source,interest 39/yr; 815-117 = 698
MPT Past Papers,Mathematics,"Arithmetic, geometry and algebra",301,"A number is doubled and 9 is added. If the resultant is trebled, it becomes 75. What is that number?",33,17,8,None of these,,C,8,C,VERIFIED — matches source,3(2x+9)=75 -> x=8
MPT Past Papers,Mathematics,"Arithmetic, geometry and algebra",302,The number 8 is to 44 as 5 is to:,105,28,41,None of these,,D,None of these,D,VERIFIED — matches source,no consistent relation
MPT Past Papers,Mathematics,"Arithmetic, geometry and algebra",303,The difference of two integers is 36. The smaller integer is 60% smaller than the larger integer. What is the sum of the two?,54,60,21,None of these,,D,None of these,D,VERIFIED — matches source,"60 and 24 -> sum 84, not listed"
MPT Past Papers,Mathematics,Quantitative reasoning,304,Evaluate: 4^(1/2) × 4^2 - 4^0.,24,28,31,None of these,,C,31,C,VERIFIED — matches source,2x16-1 = 31
MPT Past Papers,Mathematics,Quantitative reasoning,305,"What is k, given that 27^k = 9?",1/3,2/3,4/3,None of these,,B,2/3,B,VERIFIED — matches source,3^3k=3^2 -> 2/3
MPT Past Papers,Mathematics,Quantitative reasoning,306,"Several number of cows on a farm consume the food in 150 days. If we reduce the number of cows by 10, then the food lasts for 160 days. How many cows were there on the farm in the beginning?",150,160,100,None of these,,B,160,B,VERIFIED — matches source,150c=160(c-10) -> 160
MPT Past Papers,Mathematics,Quantitative reasoning,307,A train of length 99m takes 11 seconds to pass completely through a station of length 231m. What is the speed of the train in km/h?,108,75.6,30,None of these,,A,108,A,VERIFIED — matches source,330m/11s = 30m/s = 108km/h
MPT Past Papers,Mathematics,Quantitative reasoning,308,"A, B and C share $112. B receives $12 less than A and C gets twice as much as B. How much does C get?",34,44,50,None of these,,C,50,C,VERIFIED — matches source,"B=25, C=50"
MPT Past Papers,Mathematics,Quantitative reasoning,309,Find an integer such that four times the number subtracted from two times the square of the number gives 15.,3,-3,-5/3,None of these,,D,None of these,D,VERIFIED — matches source,2x^2-4x-15=0 has no integer root
MPT Past Papers,Mathematics,Quantitative reasoning,310,Zaid is six times as old as his daughter Zoya. How old was Zaid when Zoya was born if the sum of their ages will be 49 in 7 years?,25,35,42,None of these,,A,25,A,VERIFIED — matches source,"Zoya 5, Zaid 30 -> 25 at her birth"
MPT Past Papers,Mathematics,Quantitative reasoning,311,Find two consecutive positive numbers such that the sum of their squares is 7 less than 120.,"7, 8","8, 9","7, 9",None of these,,A,"7, 8",A,VERIFIED — matches source,49+64 = 113
MPT Past Papers,Mathematics,Quantitative reasoning,312,A light shop sells lights; they sold 25 percent of the lights and still had 1500 lights left. How many lights were there in the beginning?,2500,2250,2000,None of these,,C,2000,C,VERIFIED — matches source,1500 = 75% -> 2000
MPT Past Papers,Mathematics,Quantitative reasoning,313,"Given x^2 - 11x + 10 = 0, then x is:","-1, -10","-1, +10","+1, -10",None of these,,D,None of these,D,VERIFIED — matches source,roots are +1 and +10
MPT Past Papers,Mathematics,Quantitative reasoning,314,Total cost of 5 markers and 1 pencil is Rs. 245 and total cost of 3 markers and 3 pencils is Rs. 327. What is the cost of one marker?,Rs. 32,Rs. 34,Rs. 74,None of these,,B,Rs. 34,B,VERIFIED — matches source,marker 34
MPT Past Papers,Mathematics,Quantitative reasoning,315,"The first term in a sequence is 1 and the second term is 5. From the third term onwards, each term is the average (arithmetic mean) of all preceding terms. What is the 27th term in the sequence?",2.5,3,5.5,None of these,,B,3,B,VERIFIED — matches source,every term from 3rd on is 3
MPT Past Papers,Mathematics,Quantitative reasoning,316,A baker sells different types of cakes in his shop. Every small cake costs $x and every large cake costs $(2x + 3). The cost of 3 small lemon cakes and 2 large lemon cakes is $16.36. What is the cost of one small lemon cake?,$1.91,$1.48,$2.34,None of these,,B,$1.48,B,VERIFIED — matches source,7x = 10.36 -> 1.48
MPT Past Papers,Mathematics,Quantitative reasoning,317,"If one angle of an isosceles triangle is 68 degrees, then possible values of the second angle are:",Any value between 68 and 180 degrees,Any value between 68 and 112 degrees,Any value between 1 and 112 degrees,None of these,,D,None of these,D,VERIFIED — matches source,"second angle can only be 68, 56 or 44"
MPT Past Papers,Mathematics,Quantitative reasoning,318,The total perimeter of a semicircle is 20.6 cm. What is the approximate radius of the semi-circle?,4 cm,5 cm,6.6 cm,None of these,,A,4 cm,A,VERIFIED — matches source,r = 20.6/(pi+2) = 4.0
MPT Past Papers,Mathematics,Quantitative reasoning,319,A water tank in the shape of a cuboid has length 1.5 metres and width 1.0 metre. How many litres of water are in the tank if the water is 60 centimetres deep?,9000 litres,900 litres,90 litres,None of these,,B,900 litres,B,VERIFIED — matches source,1.5 x 1.0 x 0.6 = 0.9 m3 = 900 L
MPT Past Papers,Mathematics,Quantitative reasoning,320,"The inner circumference of a circular race track is 440m. If the width of the track is 14m, what is the radius of the outer circle?",70m,77m,84m,None of these,,C,84m,C,VERIFIED — matches source,inner r 70 + 14 = 84
MPT Past Papers,Mathematics,Quantitative reasoning,321,"In a group of 200 people, 90 like tennis, while 108 like cricket and 46 people like both tennis and cricket. How many people like neither tennis nor cricket?",44,48,62,None of these,,B,48,B,VERIFIED — matches source,200-152 = 48
MPT Past Papers,Mathematics,Quantitative reasoning,322,"450 visitors visit a museum on each Monday, while only 120 visit on each of the remaining six days of the week. How many visitors are there on a daily average basis in a month of 30 days beginning on a Monday?",164,160,175,None of these,,C,175,C,VERIFIED — matches source,(5x450 + 25x120)/30 = 175
MPT Past Papers,Mathematics,Quantitative reasoning,323,Roni and Willy had a 100m race. Roni covered the distance in 45 secs and Willy covered the distance in 36 secs. Willy beats Roni by how much distance?,20m,22.5m,25m,None of these,,A,20m,A,VERIFIED — matches source,Roni does 80m in 36s -> beaten by 20m
MPT Past Papers,Mathematics,Quantitative reasoning,324,What is the sum of prime numbers less than 21?,58,64,77,None of these,,C,77,C,VERIFIED — matches source,2+3+5+7+11+13+17+19 = 77
MPT Past Papers,Mathematics,Quantitative reasoning,325,The expression 3(-4 × 5 - 6) would be equal to:,12,-78,-15,None of these,,B,-78,B,VERIFIED — matches source,3 x -26 = -78
MPT Past Papers,Mathematics,Quantitative reasoning,326,"Arrange in order of size, smallest to largest: (i) 0.5^2 (ii) 0.5 (iii) 0.5^3 (iv) cube root of 0.5","iv, ii, i, iii","iii, i, ii, iv","ii, i, iii, iv",None of these,,B,"iii, i, ii, iv",B,VERIFIED — matches source,0.125 < 0.25 < 0.5 < 0.794
MPT Past Papers,Mathematics,Quantitative reasoning,327,"The forest workers plant 200 trees in one month (30 days). When 20 workers were sent away, 200 trees were planted in 40 days by this second group. How many workers were there in the first group?",60,70,80,None of these,,C,80,C,VERIFIED — matches source,30W = 40(W-20) -> 80
MPT Past Papers,Mathematics,Quantitative reasoning,328,The temperature measured in Murree at noon was 16.6 degrees C. At midnight temperature was 20.4 degrees C lower. What was the temperature at midnight?,-4.8 degrees C,-4.2 degrees C,-3.8 degrees C,None of these,,C,-3.8 degrees C,C,VERIFIED — matches source,16.6-20.4 = -3.8
MPT Past Papers,Mathematics,Quantitative reasoning,329,Roni has 25 sweets and Tony has 55 sweets. How many sweets should Roni give to Tony so that Tony has four times as many sweets as Roni?,5,7,9,None of these,,C,9,C,VERIFIED — matches source,55+x = 4(25-x) -> x=9
MPT Past Papers,Mathematics,Quantitative reasoning,330,How can the number 45 be divided into two parts such that four times one part is 9 less than 5 times the other?,"20, 25","21, 24","19, 26",None of these,,B,"21, 24",B,VERIFIED — matches source,4a = 5(45-a)-9 -> 24 and 21
MPT Past Papers,Mathematics,Quantitative reasoning,331,"A man is 5 times as old as his son now. Four years ago, the product of their ages was 52. What are their present ages?",8 and 40,7 and 35,6 and 30,None of these,,C,6 and 30,C,VERIFIED — matches source,"son 6, man 30"
MPT Past Papers,Mathematics,Quantitative reasoning,332,"John is 4 years older than David and Joe is 2 years younger than David. If the sum of their ages is 44, how old will John be in 8 years' time?",24,25,17,None of these,,D,None of these,D,VERIFIED — matches source,"John 18, +8 = 26, not listed"
MPT Past Papers,Mathematics,Quantitative reasoning,334,"A student spends 15% of his scholarship grant on food and 45% on tuition. After spending 50% of the remaining grant on his hostel fee, he is left with Rs 8,000 only. How much is his scholarship grant?","32,000","40,000","45,000",None of these,,B,"40,000",B,VERIFIED — matches source,"20% of G = 8000 -> 40,000"
MPT Past Papers,Mathematics,Quantitative reasoning,335,"Find the value of a^2 + b^2, when a + b = 5 and ab = 6.",37,25,13,None of these,,C,13,C,VERIFIED — matches source,25-12 = 13
MPT Past Papers,Mathematics,Quantitative reasoning,336,"When the equation y = x^2 + 8x - 5 is written in the form (x + a)^2 + b, then a is:",8,5,4,None of these,,C,4,C,VERIFIED — matches source,(x+4)^2-21 -> a=4
MPT Past Papers,Mathematics,Quantitative reasoning,337,"Find the value of x, where A = (2pi + y)x^2, where A = 36 and y = 2.77.",3,4,2,None of these,,C,2,C,VERIFIED — matches source,x^2 = 36/9.053 -> x=2
MPT Past Papers,Mathematics,Quantitative reasoning,338,"At a football match, the price of child ticket is Rs. 240 less than the adult ticket. There are 18,500 adults and 2500 children attending the match. Total amount paid for tickets is Rs. 41,400,000. What is the price of an adult ticket?",Rs. 2460,Rs. 1940,Rs. 2000,None of these,,C,Rs. 2000,C,VERIFIED — matches source,"21000a = 42,000,000 -> 2000"
MPT Past Papers,Mathematics,Quantitative reasoning,339,Name the regular polygon that has an exterior angle of 36 degrees.,Pentagon,Hexagon,Decagon,None of these,,C,Decagon,C,VERIFIED — matches source,360/36 = 10 sides = decagon
MPT Past Papers,Mathematics,Quantitative reasoning,340,What is the perimeter of a semi-circle lake having a radius of 700m?,127.4 km,3.6 km,2.9 km,None of these,,B,3.6 km,B,VERIFIED — matches source,pi(700)+1400 = 3599m = 3.6km
MPT Past Papers,Mathematics,Quantitative reasoning,341,What is the total surface area of a cylinder having a radius of 3.5 cm and height 5.5 cm?,211.5 sq cm,198 sq cm,121 sq cm,None of these,,B,198 sq cm,B,VERIFIED — matches source,2pi r(r+h) = 198
MPT Past Papers,Mathematics,Quantitative reasoning,342,The lights and brakes of 30 bicycles were tested. 27 bicycles passed the lights and 21 passed the brakes test. The lights and brakes both failed on one bicycle. How many bicycles passed both tests?,19,21,20,None of these,,A,19,A,VERIFIED — matches source,30 - 11 = 19
MPT Past Papers,Mathematics,Quantitative reasoning,343,"A box contains 8 red, 6 green and 7 blue toys. One of the toys is randomly picked; what is the probability that the toy picked is neither red nor green?",7/21,14/21,7/14,None of these,,A,7/21,A,VERIFIED — matches source,blue 7 of 21
MPT Past Papers,Mathematics,Quantitative reasoning,344,16 men and 12 women can complete a work in 20 days. 18 women can complete the same work in 40 days. In how many days will 12 men and 27 women complete the same work?,16,18,21,None of these,,A,16,A,VERIFIED — matches source,m=1.5w; 720w/45w = 16 days
MPT Past Papers,Mathematics,Statistics,345,A pictogram is appropriate for data:,Fraction,Count,Interval,None of these,,B,Count,,ANSWER SUPPLIED BY REVIEW,pictograms represent counts
MPT Past Papers,Mathematics,Statistics,346,A pie-chart is suitable to divide the components of a factor in:,Sectors,Percentage,Angles,None of these,,A,Sectors,,ANSWER SUPPLIED BY REVIEW,a pie chart divides into sectors
MPT Past Papers,Mathematics,Statistics,347,"If we add a constant 3 to each observation of a data set, then the mean is:",Increased by 3,Decreased by 3,No Effect,None of these,,A,Increased by 3,,ANSWER SUPPLIED BY REVIEW,mean shifts by the constant
MPT Past Papers,Mathematics,Statistics,348,"If three observations are 5, 5 and 5, then the arithmetic mean is:",5,10,0,None of these,,A,5,,ANSWER SUPPLIED BY REVIEW,"mean of 5,5,5 = 5"
MPT Past Papers,Mathematics,Statistics,349,"If the minimum value in a set is 5 and its range is 50, then the maximum value of the set is:",47,55,50,None of these,,B,55,,ANSWER SUPPLIED BY REVIEW,5+50 = 55
MPT Past Papers,Mathematics,Statistics and probability,350,Probability can take values:,-1 to +1,-infinity to +infinity,0 to 1,None of these,,C,0 to 1,,ANSWER SUPPLIED BY REVIEW,"probability lies in [0,1]"
MPT Past Papers,Mathematics,Statistics and probability,351,The mean of 5 observations is 10. A new observation 10 is added; the mean of the 6 observations is:,5,10,15,None of these,,B,10,,ANSWER SUPPLIED BY REVIEW,sum 60 over 6 = 10
MPT Past Papers,Mathematics,Statistics and probability,352,Mean is a measure of:,Location,Dispersion,Variation,None of these,,A,Location,,ANSWER SUPPLIED BY REVIEW,the mean is a measure of location/central tendency
MPT Past Papers,Reasoning,Classification and reasoning,353,"Which of the following options does not belong to a ""bird""?",Wing,Rudder,Beak,None of these,,B,Rudder,,ANSWER SUPPLIED BY REVIEW,a rudder belongs to a ship or aircraft
MPT Past Papers,Reasoning,Classification and reasoning,354,"Which of the following options is a necessary part of ""harvest""?",Crop,Tractor,Stockpile,None of these,,A,Crop,,ANSWER SUPPLIED BY REVIEW,there is no harvest without a crop
MPT Past Papers,Reasoning,Classification and reasoning,355,"Which of the following options is a necessary part of ""School""?",Learning,Student,Report Card,None of these,,B,Student,,ANSWER SUPPLIED BY REVIEW,a school requires students
MPT Past Papers,Reasoning,Classification and reasoning,356,My wife and I have two sons. Each son has one sister. How many members are in the family?,4,5,6,None of these,,B,5,,ANSWER SUPPLIED BY REVIEW,"father, mother, two sons and one shared sister = 5"
MPT Past Papers,Reasoning,Classification and reasoning,357,A farmer has 10 cows. All cows died except four. How many cows are left?,4,5,6,None of these,,A,4,,ANSWER SUPPLIED BY REVIEW,"""all died except four"" leaves four"
MPT Past Papers,Reasoning,Classification and reasoning,358,"What does ""SAT"" stand for?",Scholar Assessment Test,Scholastic Assessment Test,Scholarship Assessment Test,None of these,,B,Scholastic Assessment Test,,ANSWER SUPPLIED BY REVIEW,Scholastic Assessment Test
MPT Past Papers,Reasoning,Classification and reasoning,359,"""SAT"" is useful to judge the:",Predicting Future,Fairness and objectiveness,Genius and Gifted,None of these,,A,Predicting Future,,ANSWER SUPPLIED BY REVIEW,the SAT is used to predict later academic performance - low confidence
MPT Past Papers,Reasoning,Cognition and logic,360,Sometimes we think about the beauty of Heaven; what do we call it?,Imagination,Concept Formation,Fantasy,None of these,,C,Fantasy,,ANSWER SUPPLIED BY REVIEW,imagining something never experienced is fantasy - low confidence
MPT Past Papers,Reasoning,Cognition and logic,361,What is the last stage of creative thinking?,Preparation,Verification,Evaluation,None of these,,B,Verification,,ANSWER SUPPLIED BY REVIEW,verification is the final stage
MPT Past Papers,Reasoning,Cognition and logic,362,Short-term memory lasts only:,5-10 seconds,10-15 seconds,20-30 seconds,None of these,,C,20-30 seconds,,ANSWER SUPPLIED BY REVIEW,20-30 seconds
MPT Past Papers,Reasoning,Cognition and logic,363,"If Mental Age (MA) and Chronological Age (CA) are given, then ""Intelligence Quotient"" (I.Q) is:",MA - CA,MA / CA,CA / MA,None of these,,B,MA / CA,,ANSWER SUPPLIED BY REVIEW,IQ = MA/CA x 100
MPT Past Papers,Reasoning,Cognition and logic,364,"(i) Bulb X lasts longer than bulb Y. (ii) Bulb F does not last longer than bulb Z. (iii) Bulb Z lasts longer than bulb X. If statements (i) and (ii) are true, then statement (iii) is:",True,False,Uncertain,None of these,,C,Uncertain,,ANSWER SUPPLIED BY REVIEW,"nothing links Z to X, so it cannot be determined"
MPT Past Papers,Reasoning,Cognition and logic,365,"(i) Passing the CSS examination gives happiness. (ii) Happiness produces a smile. (iii) Passing the CSS examination gives a smile. If statements (i) and (ii) are true, then statement (iii) is:",True,False,Uncertain,None of these,,A,True,,ANSWER SUPPLIED BY REVIEW,valid syllogism
MPT Past Papers,Reasoning,Cognition and logic,366,"(i) A toothpaste is useful. (ii) Useful things are valuable. (iii) Toothpaste is valuable. If statements (i) and (ii) are true, then statement (iii) is:",True,False,Uncertain,None of these,,A,True,,ANSWER SUPPLIED BY REVIEW,valid syllogism
MPT Past Papers,Reasoning,Cognition and logic,367,"Which of the following options does not belong to a ""book""?",Glossary,Project,Chapter,None of these,,B,Project,,ANSWER SUPPLIED BY REVIEW,a project is not part of a book
MPT Past Papers,Reasoning,"Directions, ordering and analogies",368,"Saleem walks 5 m towards west, takes a right turn and walks 5 m again. He then takes another right turn and walks 20 m. He then takes a final right turn and walks 5 m before stopping. How far is he from the starting point?",20 m,15 m,25 m,None of these,,B,15 m,D,CORRECTED — source key was wrong,"W5, N5, E20, S5 ends 15 m east of the start"
MPT Past Papers,Reasoning,"Directions, ordering and analogies",369,"A, B, C, D and E each have different amounts of money. C has more money than only E; B has more money than D but less than A. Who has the highest amount of money?",A,B,D,None of these,,A,A,A,VERIFIED — matches source,A is highest
MPT Past Papers,Reasoning,"Directions, ordering and analogies",370,"A, P, R, X, S and Z are sitting in a row. S and Z are in the centre; A and P are at the ends. R is sitting to the left of A. Who is to the right of P?",A,X,S,None of these,,B,X,B,VERIFIED — matches source,"order P X S/Z Z/S R A, so X is right of P"
MPT Past Papers,Reasoning,"Directions, ordering and analogies",371,Select the pair that has a different relationship when compared to the rest of the pairs:,Blue : Red,Left : Right,Cold : Hot,Up : Down,,A,Blue : Red,A,VERIFIED — matches source,blue and red are not opposites; the others are
